pmid,relevant,relevancy_type,notes,orcid,date
39104285,1,new_provider,"Provider for UniProt IDs, issue with curation due to multiple URI formats depending on plant species",0009-0009-5240-7463,09/24/2024
39074139,1,new_provider,"Resolver for PDB IDs",0009-0009-5240-7463,09/24/2024
39014503,0,no_website,,0009-0009-5240-7463,09/25/2024
39047988,0,irrelevant_other,,0009-0009-5240-7463,09/25/2024
39115390,0,irrelevant_other,,0009-0009-5240-7463,09/26/2024
39095357,0,irrelevant_other,,0009-0009-5240-7463,09/26/2024
39084442,0,not_identifiers_resource,,0009-0009-5240-7463,09/27/2024
38991851,1,unclear,"identifiers for sharing, retrieving, and validating sample metadata. Unclear if this should be curated as a prefix, provider or a separate registry",0009-0009-5240-7463,09/28/2024
38991828,0,irrelevant_other,,0009-0009-5240-7463,09/28/2024
39049520,0,not_identifiers_resource,,0009-0009-5240-7463,09/30/2024
39104826,1,existing,"Already present in the bioregistry as a provider for mesh prefix",0009-0009-5240-7463,10/1/2024
39050757,0,irrelevant_other,,0009-0009-5240-7463,10/1/2024
39064021,0,irrelevant_other,,0009-0009-5240-7463,10/1/2024
39028894,0,not_identifiers_resource,,0009-0009-5240-7463,10/4/2024
39044201,0,not_identifiers_resource,"Potential resource for rare diseases identifiers, but not identifier information",0009-0009-5240-7463,10/4/2024
39088253,0,irrelevant_other,,0009-0009-5240-7463,10/5/2024
39119155,0,irrelevant_other,,0009-0009-5240-7463,10/5/2024
39005357,0,irrelevant_other,,0009-0009-5240-7463,10/5/2024
39044130,0,irrelevant_other,,0009-0009-5240-7463,10/5/2024
39010878,0,irrelevant_other,,0009-0009-5240-7463,10/5/2024